Record Number,Common Name,Code,Scientific (Latin) Name,Locality,Observation Date,Observer,Breeding Evidence,Nest Structure or Substrate,Nest Height (meters),Observation Details,Comments,Latitude,Longitude,Location Certainty (meters),Elevation (meters),Photo Link,Sources,x,y
86,Cassin's Kingbird,CAKI,Tyrannus vociferans,"Goleta, East Storke Campus, student garden/greenhouse",21 Apr 1999,Mark Holmgren,Visiting Probable Nest Site,Monterey Cypress,,"Seen building nest. On 6 May 1999, A sentinel-like bird still present",,34.42012,-119.85882,25,6,,Storke Campus 6 May 99.pdf,-13342622.809482632,4085354.349396877
87,Red-tailed Hawk,RTHA,Buteo jamaicensis,"Goleta Slough, East Storke Campus Wetland (UCSB)",6 May 1999,Mark Holmgren,Fledgling out of Nest--Brancher,Eucalyptus,10.6,"""A single large fluffy chick stood up from the nest platform.  Soon the adult returned with a rodent which he tossed at the nest and quickly flew off.""",NNE of Greenhouse along S edge of wetland. Same nest active previous year,34.42114,-119.85774,50,6,,Storke Campus 6 May 99.docx,-13342502.58443258,4085491.995779619
88,Song Sparrow,SOSP,Melospiza melodia,"Goleta, East Storke Campus, student garden/greenhouse",6 May 1999,Mark Holmgren,Carrying Nesting Material,,,"""...carrying large wad of nest material in Baccharis scrub.""",,34.42082,-119.85781,50,529,,Storke Campus 6 May 99.docx,-13342510.376796931,4085448.8124199575
89,Black Phoebe,BLPH,Sayornis nigricans,"San Rafael Mtns, Manzana Ck",8 May 1999,Mark Holmgren,Feeding Fledgling,,,1 Pair adults feeding juvs in nest on N side creek.,With Melissa Kelly  E of Nira Camp,34.77483,-119.94727,1000,603,,Manzana 8 May 1999.pdf,-13352469.018443301,4133323.3868299043
93,Blue-gray Gnatcatcher,BGGN,Polioptila caerulea,"Santa Ynez Mtns, Blue Cyn",24 May 1999,Jim Greaves,Nest Building,oak,,lining nest in an oak in the bird-depauperate oak woods twixt Camuesa Rd and Blue Cyn,,34.48717,-119.54769,1500,474,,Blue Cyn 24 May 1999.pdf,-13307987.976312121,4094406.1514702206
94,Blue-gray Gnatcatcher,BGGN,Polioptila caerulea,Santa Ynez River between Pendola Station and P-Bar Camp,27 May 1999,Kathleen Whitney,Feeding Fledgling,,,a pair feeding 3 fledged young,Los Padres NF Riparian Surveys,34.51188,-119.58412,700,474,,Pendola 27 May 1999.pdf,-13312043.34536172,4097743.8551183054
95,House Wren,HOWR,Troglodytes aedon,Santa Ynez River between Pendola Sta. and P-Bar Camp,27 May 1999,Kathleen Whitney,Feeding Fledgling,,,seen feeding young and carrying food,this 'observation' may summarize more than one event.,34.51192,-119.58412,700,474,,Pendola 27 May 1999.pdf,-13312043.34536172,4097749.2589211315
96,Song Sparrow,SOSP,Melospiza melodia,Santa Ynez River between Pendola Sta. and P-Bar Camp,27 May 1999,Kathleen Whitney,Feeding Fledgling,,,seen feeding young and carrying food,this 'observation' may summarize more than one event.,34.51196,-119.58412,700,382,,Pendola 27 May 1999.pdf,-13312043.34536172,4097754.662726552
100,House Finch,HOFI,Haemorhous mexicanus,"Santa Ynez Mtns, Tequepis Trail",11 Jun 1999,Melissa Kelly,Nestling in Nest,building,,"""Nest with babies in roof on porch.""","N side, Circle V Ranch, old cabin with pools and diversion site",34.55182,-119.95647,25,382,,MSE Nesting Records,-13353493.157758597,4103140.844889858
101,Western Bluebird,WEBL,Sialia mexicana,"Santa Ynez Mtns, Tequepis Trail",11 Jun 1999,Melissa Kelly,Nestling in Nest,nest box,,A pair with young in a nest box,"N side, Circle V Ranch, old cabin with pools and diversion site",34.55168,-119.95675,200,474,,MSE Nesting Records,-13353524.327216018,4103121.922526222
105,Black-headed Grosbeak,BHGR,Pheucticus melanocephalus,Santa Ynez River between Pendola Sta. and P-Bar Camp,18 Jun 1999,Kathleen Whitney,Carrying Food,,,female carrying food,Los Padres NF Riparian Surveys,34.512,-119.58412,700,474,,Pendola #5 18 June 1999.pdf,-13312043.34536172,4097760.0665345653
106,California Towhee,CALT,Melozone crissalis,Santa Ynez River between Pendola Sta. and P-Bar Camp,18 Jun 1999,Kathleen Whitney,Feeding Fledgling,,,one feeding a fledgling on the ground,Los Padres NF Riparian Surveys,34.51204,-119.58412,700,474,,Pendola #5 18 June 1999.pdf,-13312043.34536172,4097765.4703451726
107,House Wren,HOWR,Troglodytes aedon,Santa Ynez River between Pendola Sta. and P-Bar Camp,18 Jun 1999,Kathleen Whitney,Carrying Food,,,seen carrying food,Los Padres NF Riparian Surveys,34.51208,-119.58412,700,469,,Pendola #5 18 June 1999.pdf,-13312043.34536172,4097770.874158376
108,Western Bluebird,WEBL,Sialia mexicana,Santa Ynez River below P-Bar Camp,18 Jun 1999,Kathleen Whitney,Carrying Food,,,female carrying food below P-Bar Campground,Los Padres NF Riparian Surveys,34.51363,-119.59159,150,474,,Pendola #5 18 June 1999.pdf,-13312874.901957946,4097980.273917786
109,California Scrub-Jay,CASJ,Aphelocoma californica,Santa Ynez River between Pendola Sta. and P-Bar Camp,18 Jun 1999,Kathleen Whitney,Carrying Food,oak,,active nest (food carries) in live oak,Los Padres NF Riparian Surveys,34.51212,-119.58412,700,476,,Pendola #5 18 June 1999.pdf,-13312043.34536172,4097776.2779741725
112,Purple Finch,PUFI,Haemorhous purpureus,Santa Ynez River between Pendola Sta. and P-Bar Camp,25 Jun 1999,Mark Holmgren,Fledgling Begging,,,begging juv,Los Padres NF Riparian Surveys,34.51184,-119.58412,700,439,,Pendola #6 25 June 1999,-13312043.34536172,4097738.451318073
115,Bell's Vireo,BEVI,Vireo bellii,Mono Creek N of Santa Ynez River,27 Jun 1999,Mark Holmgren,Nest in Use (clarify),Coyote Brush,0.7,"Nest at MC12+ on Mono Creek. No eggs, but adult male present. ""Male was singing from W of, E of, and near site before and after I left nest area.""","Los Padres NF Riparian Surveys. ""Nest is recently constructed but I cannot distinguish it from one that may be abandoned (except by presence of male in the vicinity).""",34.52441,-119.62712,500,444,,Mono-Gibraltar 27 June 1999.pdf,-13316830.083465833,4099436.7232406903
116,Black Phoebe,BLPH,Sayornis nigricans,Santa Ynez River in E portions of Gibraltar Reservoir,27 Jun 1999,Mark Holmgren,Fledgling with Presumed Parent,,,3 fledglings with half-grown tails at SYR2+,Los Padres NF Riparian Surveys,34.52144,-119.63712,250,445,,Mono-Gibraltar 27 June 1999.pdf,-13317943.278373765,4099035.4377803653
117,Common Yellowthroat,COYE,Geothlypis trichas,Santa Ynez River at E end in Gibraltar Reservoir or Mono Creek N of the SYR,27 Jun 1999,Mark Holmgren,Carrying Food,,,female carrying large wad of food,Los Padres NF Riparian Surveys,34.52155,-119.63193,1100,441,,Mono-Gibraltar 27 June 1999.pdf,-13317365.530216547,4099050.2999496707
118,Western Flycatcher,WEFL,Empidonax difficilis,Santa Ynez River in E portions of Gibraltar Reservoir,27 Jun 1999,Mark Holmgren,Feeding Fledgling,,,adults feeding 2 fledglings with half-grown tails at SYR4,Los Padres NF Riparian Surveys,34.52204,-119.63811,500,440,,Mono-Gibraltar 27 June 1999.pdf,-13318053.48466965,4099116.5043968237
119,Yellow Warbler,YEWA,Setophaga petechia,Santa Ynez River in E portions of Gibraltar Reservoir,27 Jun 1999,Mark Holmgren,Fledgling under Parental Care,,,2 fledglings with barely grown tails with parents although feeding not seen at SYR6,Los Padres NF Riparian Surveys,34.52226,-119.64013,500,5,,Mono-Gibraltar 27 June 1999.pdf,-13318278.350041052,4099146.228969165
120,Semipalmated Plover,SEPL,Charadrius semipalmatus,"Santa Maria River Estuary, Rancho Guadalupe Dunes Preserve",19 Jul 1999,Brad Hines,"Nestling/Fledgling Dead (photo, please)",,,"""Nest on remnant asphalt pad from oil well, dead chick 18' from nest""","""Video of one egg in nest was recorded by me the morning of 18-July-99""",34.96564,-120.6501,15,22,,Specimen UCSB 29727. Semipalmated Plover nesting 19 July 1999.pdf,-13430707.696157534,4159212.7371215336
121,Hooded Oriole,HOOR,Icterus cucullatus,"Goleta, Stow House",19 Aug 1999,Dave Compton,Fledgling Begging,Eucalyptus,,"""Juv. begging from adult female in eucs...""",Parking Lot,34.44321,-119.85268,100,8,,MSE Nesting Records,-13341939.307809165,4088470.697030612
122,California Towhee,CALT,Melozone crissalis,"Carpinteria Ck, downstream of Carpinteria Ave",27 Aug 1999,Mark Holmgren,Fledgling with Presumed Parent,,,"""Juv. with 2 adults, seemed dependent","With Ball, M.",34.39336,-119.51375,150,8,,MSE Nesting Records,-13304209.7927946,4081743.7556870454
123,House Finch,HOFI,Haemorhous mexicanus,"Carpinteria Ck, downstream of Carpinteria Ave",27 Aug 1999,Mark Holmgren,Feeding Fledgling,,,Juvenile being fed/begging,"With Ball, M.",34.3934,-119.51375,150,235,,MSE Nesting Records,-13304209.7927946,4081749.151826399
124,Western Grebe,WEGR,Aechmophorus occidentalis,"Cachuma Lake, Santa Cruz Bay",29 Aug 1999,Liz Mason,Fledgling with Presumed Parent,,,"""One chick with parents spotted""",,34.5822,-119.92367,500,15,,MSE Nesting Records,-13349841.878460579,4107247.751256704
125,California Towhee,CALT,Melozone crissalis,"Goleta, San Jose Ck",5 Sep 1999,Mark Holmgren,Feeding Fledgling,,,"Adult feeding juv. that had down still attached to crown, fleshy rictus, bright colored mouth. Gave begging note.","100m S of Hwy 101. With Ball, M., Dave Compton",34.43988,-119.8165,25,6,,Goleta Breeding records 5 Sept 1999.pdf,-13337911.768632263,4088021.209611157
126,Lesser Goldfinch,LEGO,Spinus psaltria,"Goleta, Tecolotito Ck",5 Sep 1999,Mark Holmgren,Family Group in Close Association,,,"Several family groups together. Juvs. with wing quiver. Never saw actual feeding, lots of chasing adults.","Approx. 100m N of Hollister.  With Ball, M., Dave Compton",34.43158,-119.85848,75,226,,Goleta Breeding records 5 Sept 1999.pdf,-13342584.960855763,4086900.9435563125
128,White-tailed Kite,WTKI,Elanus leucurus,"Cachuma Lake, east end",26 Feb 2000,Mark Holmgren,Adult at Nest (clarify),willow,,"""...pair of kites...one was performing as sentry by perching in several cottonwood trees that surrounded a bushy willow.  It approached the willow and inside the willow was a kite apparently on a nest. Did not see food being delivered.""",,34.551,-119.89273,500,8,,MSE Nesting Records,-13346397.653415434,4103030.014355736
129,American Crow,AMCR,Corvus brachyrhynchos,"Goleta, UCSB Campus Lagoon",12 Mar 2000,Melissa Kelly,Carrying Nesting Material,Eucalyptus,,A pair carrying nest material into tree in SE corner of lagoon.,,34.40651,-119.84533,25,15,,MSE Nesting Records,-13341121.109551834,4083517.875461013
130,American Crow,AMCR,Corvus brachyrhynchos,"Goleta, UCSB, Bldg 402, W side",12 Mar 2000,Melissa Kelly,Carrying Nesting Material,Eucalyptus,,A single bird carrying nest material into tree,,34.41676,-119.8448,50,14,,MSE Nesting Records,-13341062.110221712,4084900.9378936756
131,Red-shouldered Hawk,RSHA,Buteo lineatus,"Goleta, UCSB, S side of east entrance",12 Mar 2000,Melissa Kelly,Carrying Nesting Material,Eucalyptus,,"""...taking nest material into a euc...""",,34.41599,-119.83961,200,676,,MSE Nesting Records,-13340484.362064494,4084797.0336567196
132,Mallard,MALL,Anas platyrhynchos,"Santa Ynez Mtns, Windermere",18 Apr 2000,Mark Holmgren,Family Group in Close Association,,,"f and 11 chicks in lower pond. On 24 April 2000, Holmgren saw mom with 9 fledglings.  On 6 May, Holmgren saw 9 half-grown fledglings. On 28 May, 6 fledglings.", pond 60m SE Larson property at 5797 West Camino Cielo,34.50033,-119.82528,60,6,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338889.15376143,4096183.6155440775
133,Great Horned Owl,GHOW,Bubo virginianus,"Goleta Slough, East Storke Campus Wetland (UCSB)",21 Apr 2000,Mark Holmgren,Adult at Nest (clarify),Eucalyptus,,Occupying old Red-tailed hawk nest,"""...pair of Red-tails is acting territorial but without the fervor and without a nest they can use!""",34.42057,-119.85717,75,8,,MSE Nesting Records,-13342439.132322825,4085415.0755352145
134,White-tailed Kite,WTKI,Elanus leucurus,"Goleta, UCSB, Harder Stadium",21 Apr 2000,Mark Holmgren,Nest in Use (clarify),,,"""The kite was on the nest and the other bird nearby...some food transfer...nestled into nest structure""","With Hubbard, D.  , ""SE side of same tree used in 1999""  ""...did not look like they fed the young...suspect they are at the egg stage""",34.42139,-119.85439,50,667,,MSE Nesting Records,-13342129.66413842,4085525.7328943494
135,Dark-eyed Junco,DEJU,Junco hyemalis,"Santa Ynez Mtns, 5797 West Camino Cielo",24 Apr 2000,Mark Holmgren,Carrying Nesting Material,,,seen twice carrying nesting material at Zone 4B,,34.50124,-119.82494,25,680,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338851.305134557,4096306.535664713
136,Dark-eyed Junco,DEJU,Junco hyemalis,"Santa Ynez Mtns, 5797 West Camino Cielo",29 Apr 2000,Mark Holmgren,Feeding Fledgling,,,"""Adults feeding at least one flying juv. with full tail in oaks...""",,34.50073,-119.82535,50,392,,MSE Nesting Records,-13338896.946125785,4096237.646201061
137,California Scrub-Jay,CASJ,Aphelocoma californica,"Santa Ynez Valley, Sedgwick Ranch",29 Apr 2000,Mark Holmgren,Egg in Nest,Ceanothus,,"""Female flushed from nest...3 eggs in nest""","Figuerora Creek, at dam site",34.72363,-120.03553,100,210,,MSE Nesting Records,-13362294.076700713,4126386.702833824
138,Dark-eyed Junco,DEJU,Junco hyemalis,"San  Roque Canyon, Jesusita Trail",30 Apr 2000,Stephen Rothstein,Feeding Fledgling,,,"""Male Junco feeding 2 or 3 very advanced fledglings...fledglings had long tails...""","""...[fledglings] have probably been out of the nest at least several days to a week or more. The first eggs in the nest must have been laid no later than 5 April (maybe even late March)"".  ~0.5-0.75 mi. up trail from filtration plant.",34.46264,-119.72937,,684,,MSE Nesting Records,-13328212.501399446,4091093.739239647
139,Bushtit,BUSH,Psaltriparus minimus,"Santa Ynez Mtns, Windermere",6 May 2000,Mark Holmgren,Carrying Food,Coast Live Oak,4.9,"adult carrying food small wad, no sound from chicks upon receipt", near lower pond. dead oak broken and dangling snag,34.50013,-119.82557,50,683,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338921.436413756,4096156.6003128057
140,Acorn Woodpecker,ACWO,Melanerpes formicivorus,"Santa Ynez Mtns, 5797 West Camino Cielo",8 May 2000,Mark Holmgren,Cavity Nester Attending Cavity,Coast Live Oak,,"nest cavity with bird apparently incub. in tree close to (SW of) my house, carrying food seen on 16 May. On 1 June: adult feeding nestlings for one week at least. On 17 June: fledgling is out of nest.  ",W of Windermere pond near Larson property at ,34.50054,-119.82552,40,686,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338915.870439218,4096211.98160667
141,Oak Titmouse,OATI,Baeolophus inornatus,"Santa Ynez Mtns, 5797 West Camino Cielo",8 May 2000,Mark Holmgren,Carrying Food,,,carrying large wad of food to W of home,,34.50085,-119.82582,200,685,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338949.266286455,4096253.8554487107
142,Oak Titmouse,OATI,Baeolophus inornatus,"Santa Ynez Mtns, 5797 West Camino Cielo",8 May 2000,Mark Holmgren,Nestling in Nest,Coast Live Oak,2,"Nest 80m W of lower pond . Possibly 3 adults tending nest; large wads carried, chicks vocal.",W of Windermere pond near Larson property. In delta between 2 feeder drainages,34.5001,-119.82563,70,679,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338928.115583206,4096152.5480337064
143,Orange-crowned Warbler,OCWA,Oreothlypis celata,"Santa Ynez Mtns, Windermere",8 May 2000,Mark Holmgren,Carrying Nesting Material,,,"Nest not found after watching both adults carrying food, delivering, sound of chicks",on Windermere Ranch near 5797 West Camino Cielo,34.5003,-119.82475,100,668,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338830.154431308,4096179.5632552556
144,Ash-throated Flycatcher,ATFL,Myiarchus cinerascens,"Santa Ynez Mtns, 5797 West Camino Cielo",13 May 2000,Morgan Ball,Cavity Nester Attending Cavity,Coast Live Oak,0.83,entering an oak cavity at 2.5 feet in 5A+.,4 June: 4 eggs in nest,34.50071,-119.82491,40,686,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338847.965549834,4096234.944662054
145,American Crow,AMCR,Corvus brachyrhynchos,"Santa Ynez Mtns, Windermere",16 May 2000,Mark Holmgren,Carrying Food,,,crows taking food to nest area which I cannot see at the upstream end of pond 1,pond 60m SE Larson property at 5797 West Camino Cielo,34.50006,-119.82576,50,681,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338942.587117009,4096147.1449971716
146,Oak Titmouse,OATI,Baeolophus inornatus,"Santa Ynez Mtns, 5797 West Camino Cielo",16 May 2000,Mark Holmgren,Family Group in Close Association,,,"feeding family group in my trees. On 28 May 2000, MAH sees Oak Titmouse carrying food to 2 begging fledglings.",Assumed to be same family gp.,34.5008,-119.82535,50,672,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338896.946125785,4096247.101592687
147,Dark-eyed Junco,DEJU,Junco hyemalis,"Santa Ynez Mtns, Windermere",19 May 2000,Mark Holmgren,Fledgling out of Nest--Brancher,,,"non-flying nestling/fledgling, stub-tailed flushed from ground at trail below Pond #1 on Windemere",property near 5797 West Camino Cielo,34.50052,-119.82492,25,181,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338849.078744743,4096209.28007382
148,Great Blue Heron,GBHE,Ardea herodias,"Santa Ynez River, downstream of Bradbury Dam",15 Feb 2000,Mark Holmgren,Copulation,Western Sycamore,5.3,"7 birds were on 6 nest structures while 6 additional nest structures were unattended; copulation occurred between two of the birds beside one of the nest structures. On 19 May 2000, Compton counted 4 active nests, with 5 adults present, 1 nestling visible, with begging heard from a different nest",On Crawford Ranch property.,34.587691,-119.9901862,150,670,,"Cachuma 15 Feb 2000.pdf and Compton field notes, SYR project for URS",-13357246.427974083,4107990.209727871
149,Orange-crowned Warbler,OCWA,Oreothlypis celata,"Santa Ynez Mtns, 5797 West Camino Cielo",19 May 2000,Mark Holmgren,Egg in Nest,,,"aggressive adult attending nest with one egg along driveway at Zone 5B. On 4 June, 2 nestlings in nest.",,34.50126,-119.82502,25,680,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338860.210693821,4096309.2372208955
150,Blue-gray Gnatcatcher,BGGN,Polioptila caerulea,"Santa Ynez Mtns, 5797 West Camino Cielo",22 May 2000,Mark Holmgren,Egg in Nest,,,Western Scrub-Jay extract 2 eggs from the nest of Blue-gray Gnatcatcher in oak just S of patio,,34.50069,-119.82534,25,670,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338895.832930874,4096232.2431236953
